id_componente,anio,mes,ftes
383,2022,2,0
384,2022,2,0.0024
385,2022,2,0.0007
386,2022,2,0.7033
388,2022,2,0.0699
389,2022,2,2.0721
390,2022,2,1.2753
391,2022,2,0.8321
392,2022,2,0.0717
393,2022,2,0.3145
394,2022,2,0.1949
395,2022,2,0.2392
396,2022,2,1.0897
399,2022,2,0
401,2022,2,1.8964
402,2022,2,1.9838
403,2022,2,0.0295
404,2022,2,3.3482
406,2022,2,0.0001
407,2022,2,0.0001
408,2022,2,0.0005
409,2022,2,0.2022
410,2022,2,0.8388
411,2022,2,3.6875
412,2022,2,0
415,2022,2,2.306
416,2022,2,0
417,2022,2,1.0061
418,2022,2,1.6383
419,2022,2,3.0699
420,2022,2,0.5196
421,2022,2,4.3359
424,2022,2,2.6905
425,2022,2,0
426,2022,2,1.5854
428,2022,2,0.0565
429,2022,2,2.2773
430,2022,2,2.3566
431,2022,2,0.1214
432,2022,2,0.3586
434,2022,2,0.2261
435,2022,2,0.0127
436,2022,2,0.8434
437,2022,2,2.7661
438,2022,2,1.3963
439,2022,2,0.285
441,2022,2,2.5721
442,2022,2,0.3139
443,2022,2,3.3514
445,2022,2,0.0463
446,2022,2,0
447,2022,2,0.5588
448,2022,2,0.6434
449,2022,2,0.6704
450,2022,2,1.463
452,2022,2,0.0378
455,2022,2,0
456,2022,2,0.0679
460,2022,2,0.0404
461,2022,2,0.0331
462,2022,2,0.1054
463,2022,2,0.1054
464,2022,2,0.6495
465,2022,2,0.6507
466,2022,2,0.0699
467,2022,2,1.2841
468,2022,2,0.1214
469,2022,2,1.127
470,2022,2,0.3201
471,2022,2,0
472,2022,2,0.5554
473,2022,2,0.1422
474,2022,2,3.1807
475,2022,2,4.8373
476,2022,2,0.0426
478,2022,2,3.531
479,2022,2,0.1377
480,2022,2,0
481,2022,2,0.0107
482,2022,2,0
483,2022,2,0
484,2022,2,9.1852
485,2022,2,1.4018
486,2022,2,0.3459
488,2022,2,0
489,2022,2,0.0703
490,2022,2,0
491,2022,2,5.6904
492,2022,2,0.0043
493,2022,2,0.8181
494,2022,2,0.8962
495,2022,2,0.2618
496,2022,2,1.4447
497,2022,2,0.8426
498,2022,2,0
499,2022,2,1.3433
500,2022,2,22.7879
501,2022,2,5.7899
502,2022,2,1.4206
503,2022,2,0.0683
507,2022,2,0.6299
508,2022,2,26.3383
509,2022,2,1.9478
510,2022,2,0.7582
511,2022,2,10.1946
